Blockchain Company,ICO Size (in millions),Market Capitalization
AdBank (ADB), $ 14.00 ,"2,569,335"
AIRBLOC Protocol, $ 10.43 ,"14,230,777.18"
Airswap (AIG), $ 24.55 ,"90,190,388"
Aragon, $ 24.75 ,"213,548,056"
Basic Attention Token, $ 35.00 ,"1,142,346,629"
Augur, $ 5.14 ,"275,855,598"
Bancor, $ 153.00 ,"913,680,711"
Civic, $ 33.00 ,"323,873,496"
Decent, $ 4.13 ,"737,747"
Ethereum, $ 18.44 ,"323,875,260,240"
Filecoin, $ 262.00 ,"6,769,338,877"
Iota, $ 0.44 ,"3,604,016,251"
Polkadot (DOT), $ 144.59 ,"25,966,741,676"
Storj, $ 29.22 ,"490,970,433"
Bitscreener,6.72,"6,815,461.34"
CanYa, $ 8.34 ,"11,291,428"
Cruisebit,16,"28,435.00"
DACC,13.53,"2,568,260.56"
Databroker DAO, $ 3.54 ,"11,734,108.01"
Dent, $ 4.10 ,"357,381,659"
Digital Ticks, $ 30.00 ,"1,059,289.60"
DigixDAO, $ 5.50 ,"48,801,103"
DreamTeam, $ 5.52 ,"740,719.14"
DreamTeam (DREAM), $ 6.00 ,"740,719.14"
Elysian, $ 7.00 ,"2,490,652.51"
Elysian,7,"2,495,822.61"
Essentia, $ 25.50 ,"5,636,582.86"
FANTOM, $ 39.65 ,"1,057,029,272.71"
First Blood, $ 5.50 ,"260,382,989"
Gnosis, $ 12.25 ,"1,874,249,851"
HelloGold (HGT), $ 5.14 ,"913,884"
Iconomi, $ 10.50 ,"21,673,356.34"
INCX, $ 5.13 ,"284,076.00"
Komodo, $ 1.98 ,"323,767,301"
KyberNetwork, $ 53.01 ,"512,611,356"
Lisk, $ 5.80 ,"524,001,383"
Lykke, $ 1.21 ,"15,250,771"
MaidSafeCoin, $ 6.00 ,"337,486,747"
Mega X, $ 2.47 ,
Melon, $ 2.90 ,"322,834,183.61"
Metronome, $ 10.16 ,"48,851,830.83"
Midas Protocol,9.02,"860,501.28"
Modum.io, $ 13.50 ,"574,146.57"
MoneyToken, $ 1.50 ,"1,545,875"
MoneyToken (IMT), $ 37.19 ,"50,198,553.60"
NeuCoin, $ 0.63 ,
OmiseGO, $ 21.00 ,
OneLedger, $ 15.00 ,"9,739,473.47"
Orbs, $ 118.00 ,"776,594,797.00"
Raiden Network (RDN), $ 33.13 ,"47,586,708"
Santiment, $ 12.09 ,"14,558,315"
SCORUM (SCR), $ 5.63 ,"350,088"
Status, $ 95.00 ,"644,653,197"
Streamr, $ 27.00 ,"79,376,936"
TenX, $ 83.11 ,"15,449,440"
Ternio, $ 3.00 ,"8,215,802.61"
The Abyss (DAICO), $ 15.36 ,"27,168,939"
TraceTo, $ 12.50 ,
Utrum,1.16,"1,008,494.28"
0Chain (ZCHN), $ 39.00 ,"278,654,507"
0xcert Protocol,9.45,"1,012,097.54"
21 Million, $ 0.38 ,
300cubits, $ 1.10 ,
4New, $ 41.50 ,"248,713.84"
A2B Taxi, $ 1.50 ,
Acudeen, $ 35.00 ,
Adel, $ 1.21 ,"4,538,083"
Adenium, $ 1.93 ,
AdEx, $ 12.31 ,"141,500,875"
AdHive, $ 17.50 ,"215,839.12"
Aditus, $ 7.10 ,"548,676"
Adshares (ADST), $ 12.00 ,"18,558,369"
aelf, $ 24.75 ,"256,093,519"
Aeron, $ 5.35 ,"1,303,045"
Aeternity, $ 22.63 ,"97,339,437"
Agrello, $ 26.14 ,"11,228,167"
Ahoolee, $ 0.14 ,
AidCoin, $ 18.63 ,"2,659,535.96"
Aigang (AIG), $ 4.16 ,"70,358"
Aion Pre-sale, $ 8.08 ,"93,960,257"
Aira, $ 1.02 ,
AIRCOIN, $ 27.99 ,"2,602,272"
AIREN, $ 19.00 ,
Airtoken (AIR), $ 15.00 ,
Aitheon, $ 25.35 ,"196,369.91"
Alchemint, $ 30.00 ,"473,008.41"
Alpen Coin, $ 2.43 ,
Alttex (ALTTEX), $ 5.83 ,"15,858.22"
Ambit, $ 4.00 ,
Ambrosus (AMB), $ 32.51 ,"28,535,820"
AMLT, $ 19.04 ,"15,275,483"
Anryze, $ 1.76 ,
Antshares, $ 3.50 ,"5,710,299,672"
APEX, $ 25.00 ,
Aphelion, $ 4.78 ,
AppCoins, $ 17.10 ,"21,434,804"
Apptrade, $ 0.24 ,
Arbidex (ABX), $ 16.24 ,"470,927"
Arcade City, $ 0.64 ,
ArcBlock (ABT), $ 45.00 ,"24,156,195.88"
Arcona,3.4,"1,140,858.79"
Ark, $ 1.00 ,"208,087,395"
ARToken, $ 2.81 ,
Arweave (AR), $ 8.70 ,"1,086,192,460.14"
Assetereum, $ 4.19 ,
Astronaut, $ 2.35 ,"23,425,383"
ATB Coin, $ 17.60 ,"651,391"
ATLANT (ATL), $ 6.63 ,"2,103,984"
Atlantis Blue Digital,23.9,
Atonomi, $ 25.00 ,"99,870.00"
Auctus, $ 3.87 ,"7,891,100"
Augmentors, $ 1.09 ,
Aurora (DVIP), $ 5.30 ,"26,502,097"
Aventus, $ 17.31 ,"4,770,951"
AXpire (AXP), $ 20.00 ,
B2BX, $ 8.81 ,"2,316,061.70"
BABB, $ 20.00 ,"45,283,082"
Back to Earth, $ 0.97 ,
Banca (BANC), $ 20.00 ,"1,026,145"
Bank4YOU (BFY), $ 8.12 ,
Bankera, $ 150.95 ,"37,091,602"
Bankex (BKX), $ 70.30 ,"3,228.00"
BEAT,3.3,
Bee Token (BEE), $ 15.00 ,"207,614.25"
Berith, $ 9.48 ,
BETEX, $ 10.23 ,
BetKing, $ 0.55 ,
Betmaster (BETM), $ 5.24 ,
Betrium, $ 1.50 ,
Beyond the Void, $ 0.33 ,
Bezant, $ 27.50 ,"349,255"
Biocoin (BIO), $ 16.00 ,
Biometrids, $ 0.07 ,
Biotron.io, $ 4.03 ,"297,211"
BIT.GAME, $ 6.65 ,
BitCar, $ 9.30 ,
BitClave (CAT), $ 25.55 ,"1,363,620.00"
BitcoinGrowthFund, $ 19.35 ,
BitDegree, $ 22.13 ,"965,984"
BitDice, $ 8.72 ,74
Bitgoals,19,
BitGuild, $ 13.41 ,"8,980,808"
bitJob, $ 2.65 ,
BitMart (BMX), $ 6.30 ,"116,262,159"
Bitmax,13.7,"2,161.72"
Bitnation, $ 1.34 ,"167,973"
Bitquence, $ 1.23 ,
Bitrace, $ 1.82 ,
BitRewards (BIT), $ 6.60 ,"63,906.77"
Bitto Exchange (Token Sale Phase-1), $ 1.11 ,"2,394,506"
Bittwatt, $ 20.00 ,"1,730,724.94"
Block Collider, $ 7.01 ,
Block.Array (ARY), $ 14.40 ,
BlockBank, $ 12.83 ,"53,469,501.00"
BlockCDN, $ 0.30 ,"1,079,634"
Blockchain Capital, $ 10.00 ,
Blockchain Terminal, $ 21.50 ,
blockhive, $ 0.32 ,
BlockPay, $ 0.66 ,
BlockPool, $ 1.75 ,
Blockport (BPT), $ 15.00 ,"18,960,560.73"
Blockstack (STX), $ 50.00 ,"1,803,300,886"
Blocktix, $ 6.89 ,"406,952"
Blocktix, $ 6.98 ,"407,071"
BLOCKv (VEE), $ 21.07 ,"54,648,275"
Bloom (BLT), $ 40.00 ,"13,496,700.00"
Blue Whale, $ 22.70 ,"1,733,160"
Bluzelle (BLZ), $ 19.50 ,"97,546,151"
Bnk To The Future (BFT), $ 33.00 ,"69,135,247"
Bob's Repair, $ 18.64 ,"2,719,478"
Boon.Tech, $ 5.00 ,
BOScoin, $ 17.92 ,"1,126,268"
Boulè (BUO), $ 0.18 ,
Bounty0x, $ 1.60 ,"802,345"
Bread, $ 20.02 ,"14,905,436"
Breakout Coin, $ 0.56 ,
BricBit, $ 1.05 ,
Brickblock, $ 12.72 ,"1,611,524.17"
Brickblock (BBT), $ 4.89 ,"1,611,524.17"
Bubbletone Blockchain In Telecom (UMT), $ 8.60 ,
Budbo, $ 11.73 ,
Cappasity, $ 5.10 ,"3,290,286"
Carboneum,6.34,"352,396.50"
Cardstack (CARD), $ 6.50 ,
Cardstack (CARD), $ 35.00 ,"51,291,844.61"
CarTaxi (CTX), $ 8.71 ,
CarVertical (CV), $ 19.90 ,"7,014,247"
Cashaa (CAS), $ 11.15 ,"34,871,780"
CashScripter, $ 0.19 ,
CEDEX, $ 14.00 ,
CEEK, $ 17.34 ,"3,922,084.00"
Celsius (CEL), $ 50.00 ,"5,385,833,730"
CGCX,1.93,53165645
Chain of Points, $ 0.01 ,
Chainium, $ 3.44 ,1930000
ChainTrade (CTC), $ 30.00 ,
Change Bank (CAG), $ 15.83 ,"1,243,984.04"
Chronobank, $ 5.40 ,
ClearCoin (CLR), $ 6.10 ,
Clinicoin, $ 3.30 ,
CLN, $ 22.90 ,
CloudMoolah, $ 12.30 ,
Clout, $ 2.65 ,"1,115,904"
COBINHOOD (COB), $ 13.38 ,"359,974"
Cobol Network, $ 5.55 ,
Codex Protocol Pre-Sale,12,
Cofound.it, $ 11.34 ,
Coin Lion (LION), $ 7.00 ,"23,640,146.86"
CoinDash, $ -   ,
CoinDash, $ 0.14 ,"20,266,290.00"
CoinFi (COFI), $ 15.00 ,"1,476,114"
CoinHealth, $ 7.00 ,
Coinlancer, $ 11.86 ,"8,390,312"
CoinMetro, $ 14.61 ,"114,330,188"
CoinMetro (COIN), $ 14.79 ,
CoinStarter (STC), $ 8.52 ,
Coinvest, $ 5.30 ,
Colu Local Network, $ 14.50 ,"30,506,491.59"
CommerceBlock, $ 8.82 ,"1,716,790.00"
COMSA , $ 95.37 ,"234,375,258.86"
Concierge.io, $ 2.56 ,
Contingency, $ 0.39 ,
Cool Cousin, $ 10.28 ,
Cool Cousin (Pre-Sale), $ 6.79 ,
COPYTRACK, $ 11.09 ,
Copytrack (CPY), $ 11.00 ,
Corion, $ 1.88 ,"990,018"
Cosmos, $ 0.39 ,"4,133,386,080"
Cosmos Network, $ 16.80 ,
COSS, $ 2.36 ,"1,180,869.14"
Counterparty, $ 1.79 ,"6,365,209.82"
Countinghouse Fund, $ 4.72 ,"1,530,122.88"
Covesting, $ 18.75 ,"8,579,681"
Covesting, $ 18.75 ,"8,518,637"
CPChain, $ 30.00 ,"8,138,115"
Creativechain, $ 0.35 ,
Crederoom (CDRT), $ 5.13 ,
Credit Protocol, $ 15.30 ,"427,260"
CREDITS, $ 22.57 ,"14,369,225"
Crowd Genie, $ 5.55 ,
CrowdCoinage (CCOS), $ 6.00 ,
Crowdwiz (WIZ), $ 7.23 ,"1,218,614"
CrowdWiz (WIZ) Pre-Sale, $ 5.39 ,"1,218,614"
CRYCASH, $ 7.76 ,"236,445.43"
CryptalDash Exchange (CRD), $ 15.29 ,"7,373,057.78"
Crypterium (CRPT), $ 51.66 ,"19,998,081"
Crypto 20 (C20), $ 34.93 ,"155,420,261"
Crypto.tickets, $ 1.75 ,
CryptoAds,3.23,"3,567,650.07"
Cryptopay (CPAY), $ 18.03 ,"6,011,340"
CryptoPing, $ 0.39 ,"2,044,483"
Cryptosolartech,68.98,"1,058,221.00"
CrypViser, $ 3.93 ,
Crystal Clear, $ 3.50 ,
Cubaaz, $ 20.45 ,
Current (CRNC), $ 36.00 ,
CVProof (INK), $ 15.00 ,
CyberMiles (CMT), $ 34.37 ,"15,003,955"
CyberTrust (CABS), $ 17.60 ,
Cypherium, $ 25.00 ,
DacPlay, $ 0.59 ,
dadi, $ 29.00 ,
Dank Signals, $ 3.43 ,
DAOstack, $ 30.00 ,"4,123,147"
Darcrus, $ 0.30 ,
DATA (DTA), $ 38.00 ,"8,199,830"
