 ,Auditor,Close Date,ICO Size ($mn),Cumulative ICO Funding ($mn),coinmarketcap URL,Symbol,Current market capitalization (fully diluted) in USD,Trading volume (24hrs),website link (URL),whitepaper link (URL),Date,NOTES,Other links,DeadCoin Listing,Coinopsy Failure Reason,Value Creation % (less than 100% is value destruction),Volume as % of Raise,Volume as % of Market Cap,,Other research,ValueCreationNorm,Governance Transparency,Voting Eligibility,Decision/voting rights,Decision-making mechanism,Voting delegation,Specific governance roles,Internal on-chain audit,Execution quality KPI accountablity,Community co-creation of projects,Interface for centralized systems
AdBank (ADB),Alan,1/14/2018, $ 14.00 , $ 14.00 ,https://coinmarketcap.com/currencies/adbank/,ADB,"2,569,335","20,445",https://adbank.network/,https://www.adbank.network/Whitepaper_AdBank2017.pdf,06/06/2021,"Appeared to start out as ad network. CPMs fell and has gained traction on a task market (complete tasks for free tokens). Integrated into browser and offers apps. Mentions 2017 whitepaper, can't find it though. Started AI and AI patent but it appears they have pivoted from this. Not many signs that users are engaged in governance via decisionmaking, votes or any other means. Seems like a startup.",,,,18.35%,0.15%,0.80%,Market CAP and Trading volume different,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
AIRBLOC Protocol,Alan,6/19/2018, $ 10.43 , $ 24.43 ,https://coinmarketcap.com/currencies/airbloc/,ABL,"14,230,777.18","108,991.90",https://www.airbloc.org/,https://docs.google.com/document/d/1wcF6vwZN6TmAMlt6s6WLe2jlixz0xrVX9O1E5z4Cp1s/edit,04/06/2021,"CEO announced that they created a sister company which received investments (unspecified) so sounds like token holders were routed around. See: https://medium.com/airbloc/ceos-letter-to-investors-team-token-burn-revised-business-model-and-data-alliance-882f91edd99f   It looks like they have a system for sharing and monetizng the user data for enterprises. Originally was designed to provide end users with rewards, but they've changed that approach to shift to B2B (no consumer rewards). They've also been delisted from one exchange (so less integration with centralized systems). And despite the business they're in, it does not seem like they're using the system they developed to manage rights or information of their own tokenholders (at least not upon first glance). Overall seems like a startup that sold tokens, then raised money in a traditional fashion afterwards. So centralized approach and not much tokenholder involvment in governance or decisionmaking.",,,,136.44%,1.04%,0.77%,Market CAP and Trading volume different,,3,LOW,None,None,Centralized,None,No,No,No,No,No
Airswap (AIG),Alan,10/11/2017, $ 24.55 , $ 48.98 ,https://coinmarketcap.com/currencies/airswap/,AST,"90,190,388","1,011,954",https://www.airswap.io/,https://docs.airswap.io/,06/06/2021,"Appears to be a number of efforts that help engage the community in governance. In addition to be able to participate in running a server, there's AIPs with on-chain voting mechanisms. They are also polling the community about strategic directions and ask dissenters to contact and discuss via a variety of channels/groups (e.g. discord) that also appear to be active. This looks like a community, not a centralized startup.  ",,,,367.37%,4.12%,1.12%,Market CAP and Trading volume different,,3,HIGH,Over x amount of tokens,Tiered,Token amount majority,None,No,No,Yes,Yes,Yes
Aragon,Alan,5/17/2017, $ 24.75 , $ 73.73 ,https://coinmarketcap.com/currencies/aragon/,ANT,"213,548,056","89,537,013",https://aragon.org/,"https://wiki.aragon.org/documentation/whitepaper/  Seems unavailable, this one: https://cryptorating.eu/whitepapers/Aragon/Aragon%20Whitepaper.pdf",06/06/2021,This is a DAO for running DAOs and tokenholders are directloy involved in decisions and governance (right down to the level of decisions on dilution and issuing of new tokens). Whitepaper sketches out a highly distributed sturucture and governance system. See more info here: https://www.securities.io/investing-in-aragon-ant-everything-you-need-to-know/,,,,862.82%,361.77%,41.93%,Market CAP and Trading volume different,,3,HIGH,Whole community,Tiered,Token amount majority,None,Yes,Yes,Yes,Yes,Yes
Basic Attention Token,Alan,5/31/2017, $ 35.00 , $ 108.73 ,https://coinmarketcap.com/currencies/basic-attention-token/,BAT,"1,142,346,629","208,129,360",https://basicattentiontoken.org/,https://basicattentiontoken.org/BasicAttentionTokenWhitePaper-4.pdf,06/06/2021,,,,,3263.85%,594.66%,18.22%,,,4,LOW,None,None,Centralized,None,No,No,Yes,No,Yes
Augur,Kirsten,10/1/2015, $ 5.14 , $ 113.87 ,https://coinmarketcap.com/currencies/augur/,REP,"275,855,598","20,752,802",https://augur.net/ [white paper there],https://www.augur.net/faqs,06/07/2021,ERC-20,https://research.binance.com/en/analysis/augur-design-flaws,,,5366.84%,403.75%,7.52%,,,4,HIGH,All token holders,Other,Other,Open,No,No,No,Yes,No
Bancor,Kirsten,6/12/2017, $ 153.00 , $ 266.87 ,https://coinmarketcap.com/currencies/bancor/,BNT,"913,680,711","42,255,137",https://bancor.network/,https://storage.googleapis.com/website-bancor/2018/04/01ba8253-bancor_protocol_whitepaper_en.pdf,06/06/2021,ERC-20,https://gov.bancor.network/,,,597.18%,27.62%,4.62%,,,3,HIGH,All token holders,Proportional,Token amount majority,Open,No,No,Yes,Yes,Yes
Civic,Alan,6/22/2017, $ 33.00 , $ 299.87 ,https://coinmarketcap.com/currencies/civic/,CVC,"323,873,496","23,570,079",https://www.civic.com/,https://tokensale.civic.com/CivicTokenSaleWhitePaper.pdf,06/06/2021,Operates the decentralized identity marketplace (identity.com... a non profit) See: https://www.civic.com/blog/cvc-token-transfer-and-identity-com-nonprofit/,Solana and Civic on youtube: https://www.youtube.com/watch?v=tf4NbhxhfkU,,,981.43%,71.42%,7.28%,,,3,LOW,None,None,Centralized,None,Yes,Yes,No,Yes,Yes
Decent,Alan,11/6/2016, $ 4.13 , $ 304.00 ,https://coinmarketcap.com/currencies/decent/,DCT,"737,747",47,https://decent.ch/,https://docs.decent.ch/  Original whitepaper at: https://btcmanager.com/wp-content/uploads/2016/01/decent-whitepaper.pdf,06/07/2021,"The original whitepaper talks about how this chain can aid content publishers. However, seems like low involvement by that community... not seeing much indication of measures or traction around this, and more focus on the mining of the chain. Not clear their use cases panned out or that governance was considered for use cases beyond basic mining. They call themselves a DAO in the whitepaper, but even the mining via DPOS looks somewhat centralized (e.g. daily nomination of miners to run servers to keep the blockchain going).",,,,17.86%,0.00%,0.01%,,,1,LOW,All token holders,Proportional,Centralized,Open,No,Yes,No,Yes,Yes
Ethereum,Kirsten,9/2/2014, $ 18.44 , $ 322.44 ,https://coinmarketcap.com/currencies/ethereum/,ETH,"323,875,260,240","25,103,689,743",https://www.ethereum.org/,https://github.com/ethereum/wiki/wiki/White-Paper,06/07/2021,https://forum.metacartel.org/t/governance-a-dashboard-for-ethereum-governance/630,https://docs.ethhub.io/ethereum-basics/governance/,,,1756373.43%,136137.15%,7.75%,,,4,HIGH,All token holders,Other,Token amount majority,None,Yes,No,No,Yes,Yes
Filecoin,Kirsten,9/10/2017, $ 262.00 , $ 584.44 ,https://coinmarketcap.com/currencies/filecoin/,FIL,"6,769,338,877","739,959,867",https://filecoin.io/,https://docs.filecoin.io/,06/06/2021,https://github.com/filecoin-project/notary-governance/tree/main/notaries#overview,https://spec.filecoin.io/intro/concepts/,,,2583.72%,282.43%,10.93%,,,4,HIGH,All token holders,Other,Other,None,Yes,No,No,Yes,Yes
Iota,John,12/20/2015, $ 0.44 , $ 584.88 ,https://coinmarketcap.com/currencies/iota/,MIOTA,"3,604,016,251","62,686,901",https://www.iota.org/,https://iota.org/IOTA_Whitepaper.pdf,06/07/2021,,,,,819094.60%,14247.02%,1.74%,,"Note: come back to this. It seems Iota is built upon a centralized approval agency but has public research forums, including a discord forum, where they can crowdsource user input. Thus, although this is not strictly a governance protocol in the sense of smart contract execution, it still qualifies as user's contributing to the systems management",4,LOW,Whole community,Proportional,Centralized,None,No,No,No,Yes,Yes
Polkadot (DOT),John,10/27/2017, $ 144.59 , $ 729.47 ,https://coinmarketcap.com/currencies/polkadot-new/,DOT,"25,966,741,676","1,300,997,327",https://polkadot.network/,https://polkadot.network/Polkadot-lightpaper.pdf,06/06/2021,,,,,17959.39%,899.81%,5.01%,,"Note: Polkadot's governance model is probably one of the clearest I have seen yet. A metacategory to consider: how clear is the governance protocol we are researching? If it takes us an hour or more to discern governance, that isn't a good community governance. model. Governance should be transparent, not hidden within blog posts that are several years old. Here is the link: https://wiki.polkadot.network/docs/en/learn-governance",4,HIGH,All token holders,Proportional,Token amount majority,Open,Yes,Yes,Yes,Yes,No
Storj,John,5/25/2017, $ 29.22 , $ 758.69 ,https://coinmarketcap.com/currencies/storj/,STORJ,"490,970,433","333,317,885",https://storj.io/,https://storj.io/storj.pdf,06/06/2021,,,,,1680.25%,1140.72%,67.89%,,"Does not have an actual voting mechanism in place; instead, tokens are used as incentive for users providing storage to the network",4,LOW,None,None,Centralized,None,No,No,No,No,Yes
Bitscreener,Alan,7/2/2018,6.72, $ 765.41 ,https://coinmarketcap.com/currencies/bitscreener-token/,BITX,"6,815,461.34","4,722.69",https://tokensale.bitscreener.com/,https://storage.googleapis.com/files.bitscreener.com/tokensale/BitScreener_Whitepaper.pdf,04/06/2021,,,,,101.42%,0.07%,0.07%,,,3,LOW,None,None,Centralized,None,No,No,No,Yes,Yes
CanYa,Alan,12/27/2017, $ 8.34 , $ 773.74 ,https://coinmarketcap.com/currencies/canyacoin/,CAN,"11,291,428","7,821",https://canya.io/,https://canya.io/assets/docs/WhitePaper.pdf   ...or   https://cryptopapers.info/assets/pdf/canya_1_2.pdf,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,135.45%,0.09%,0.07%,,,3,LOW,None,None,Centralized,None,No,No,No,No,No
Cruisebit,Alan,7/10/2018,16, $ 789.74 ,https://coinpaprika.com/coin/crbt-cruisebit/,CRBT,"28,435.00",0.02816,https://www.cruisebit.com/,,04/06/2021,Appears dead with very little info remaining (hard to even find whitepaper). See videos: https://www.youtube.com/channel/UC3Llm2vRiJW3H0ArFiwASVw,https://etherscan.io/token/0x6b7734c5ecc51116b806e2ea6decbb3b97f4f92e,,,0.18%,0.00%,0.00%,,,1,LOW,None,None,Centralized,None,No,No,No,No,No
DACC,Alan,7/7/2018,13.53, $ 803.27 ,https://coinmarketcap.com/currencies/dacc/,DACC,"2,568,260.56","53,511.09",http://www.dacc.co/,https://static.coinpaprika.com/storage/cdn/whitepapers/448577.pdf,04/06/2021,"Medium posts suggest they might be doing DEX and NFTs on tron (2020). https://daccdao.medium.com/medium-weekly-report-19-10-30-10-80e160eb7d92 Looks like DACC may have been acquired for $11 million and rolled into a custody solution (by Bakkt): https://www.theblockcrypto.com/post/34533/bakkt-may-have-acquired-dacc-for-11m     Overall, despite an impressive whitepaper, it's not clear whether many of the original  plans materialized, and it may have just been rolled into other organizations.",,,,18.98%,0.40%,2.08%,,,1,LOW,All token holders,Proportional,Centralized,Open,Yes,No,No,Yes,Yes
Databroker DAO,Alan,6/30/2018, $ 3.54 , $ 806.81 ,https://coinmarketcap.com/currencies/databroker/,DTX,"11,734,108.01","1,223.94",http://databrokerdao.com/,https://www.allcryptowhitepapers.com/wp-content/uploads/2018/11/Databroker-DAO.pdf,04/06/2021,,,,,331.47%,0.03%,0.01%,,,3,LOW,All token holders,None,Centralized,None,No,No,No,No,Yes
